id,title,description,image
1,Andromeda,A brave princess chained to the stars â€” find her before the cosmic sea monster does.,https://star-name-registry.com/modules/starconstpg/views/img/new/andromeda-cons-m.jpg
2,Antlia,The mysterious air pump floats silently in deep space â€” relic of forgotten cosmic machines.,https://lh4.googleusercontent.com/proxy/_2mpBcEdZEqzvPlqSBDiHD4emrMUMGfeep0JsS4Z72fxgFbWjAgZgAVLn8gl1YigbjCAuZ-CszZlA4IgBtuvMkJ3ThDj9oduCHfGwsfSbfY
3,Apus,A celestial bird soaring endlessly through the southern skies â€” can you spot its flight path?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7e9vu6zTn_lDcU5eHsn-PKScBTvOEDpg6gQ&s
4,Aquarius,The cosmic water bearer pours streams of stardust across the universe.,https://star-name-registry.com/modules/starconstpg/views/img/new/aquarius-cons-m.jpg
5,Aquila,A powerful eagle flying across the Milky Way â€” its wings guard ancient secrets.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW8caiuIVKjBaWVioJT2WsyUA-kEzfWGqq4g&s
6,Ara,An ancient altar where the gods once watched over the cosmos.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTsdc9iIQnoFF42I3DJgEIlgmFx1zyC65ErA&s
7,Aries,The fearless ram charges headfirst into the darkness of space.,https://earthsky.org/upl/2021/11/Aries-the-Ram-constellation-e1636621824298.jpg
8,Auriga,The cosmic charioteer races across the stars with unmatched speed.,https://www.star-registration.com/cdn/shop/articles/20_Fuhrmann_1200x1200.jpg?v=1680678306
9,Bootes,The great celestial guardian watches silently over the northern skies.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRr4ne30RQ1864ftbyqIkh2RL76MaL_4pSdQ&s
10,Caelum,"A celestial sculptorâ€™s chisel, carving stories into the fabric of space.",https://www.go-astronomy.com/images/constellations/Caelum.jpg
11,Camelopardalis,A cosmic giraffe stretching across the infinite darkness.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTZ5dY3_FqZ0l2fhtsT5Ul2VsLyKFkQrgGQg&s
12,Cancer,"The cosmic crab moves sideways through the galaxy, hiding secrets.",https://star-name-registry.com/modules/starconstpg/views/img/new/cancer-cons-m.jpg
13,Canes Venatici,The hunterâ€™s loyal dogs chase cosmic prey across the stars.,https://www.shutterstock.com/image-vector/canes-venatici-constellation-night-sky-600nw-2541638971.jpg
14,Canis Major,Home of Sirius â€” the brightest star guiding space explorers.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4JeIRAk59aqRQ4XtsjgfvxwsSDZ8MYRLL7Q&s
15,Canis Minor,A small but loyal cosmic companion glowing in the void.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSiIqcABN-lxzmoxDXU8wuPAwTm-3oZ4ELwPQ&s
16,Capricornus,The sea goat climbs from cosmic oceans into starry heights.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2VMsec5ZUFuITtKJRgwOfFlqiD9j3bbVYuA&s
17,Carina,The keel of a great cosmic ship drifting through deep space.,https://www.shutterstock.com/image-vector/carina-constellation-illustration-hand-drawn-260nw-2729554743.jpg
18,Cassiopeia,The proud queen sits upon her throne in the sky.,https://media.istockphoto.com/id/477417251/vector/constellation-cassiopeia.jpg?s=612x612&w=0&k=20&c=9lJwzU11vWQlL-_EsNCkJpS1QtxjRRdbnoY1_1xcQEU=
19,Centaurus,A mighty centaur warrior guarding southern skies.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXS6wqMi2qqrk8zk6lz8UGQ_lodRlqLs5P6g&s
20,Cepheus,A wise king whose stars guide cosmic travelers.,https://www.star-registration.com/cdn/shop/articles/33_Kepheus_1200x1200.jpg?v=1681382015
21,Cetus,A massive sea monster lurking in the cosmic ocean.,https://www.star-registration.com/cdn/shop/articles/80_Walfisch_8cacf062-21d9-4deb-ba7c-65e48278cd8c_1200x1200.jpg?v=1748065032
22,Chamaeleon,A cosmic shape-shifter blending into the darkness.,https://www.shutterstock.com/image-vector/constellation-chamaeleon-planet-deep-space-600nw-2129689484.jpg
